system,wB97M(w=1)/def2-QZVP/ORCA_5.0.1
NCIBLIND10/04-4,-1200.30026365
NCIBLIND10/04-5,-1200.29847311
NCIBLIND10/04-6,-1200.29726367
NCIBLIND10/04-7,-1200.29654262
NCIBLIND10/04-8,-1200.29613592
NCIBLIND10/05-A,-598.97459838
NCIBLIND10/05-B,-598.9746292
NCIBLIND10/05-1,-1197.95547941
NCIBLIND10/05-2,-1197.96052291
NCIBLIND10/05-3,-1197.95998954
NCIBLIND10/05-4,-1197.95591885
NCIBLIND10/05-5,-1197.95358495
NCIBLIND10/05-6,-1197.95226596
NCIBLIND10/06-A,-226.49006433
NCIBLIND10/06-B,-226.49096349
NCIBLIND10/06-1,-452.98301755
NCIBLIND10/06-2,-452.99164054
NCIBLIND10/06-3,-452.98822827
NCIBLIND10/06-4,-452.98460625
NCIBLIND10/06-5,-452.98300636
NCIBLIND10/06-6,-452.98223703
NCIBLIND10/06-7,-452.98183098
NCIBLIND10/07-A,-229.31756153
NCIBLIND10/07-B,-229.31787453
NCIBLIND10/07-1,-458.63266309
NCIBLIND10/07-2,-458.63524616
NCIBLIND10/07-3,-458.63686606
NCIBLIND10/07-4,-458.63608275
NCIBLIND10/07-5,-458.63568886
NCIBLIND10/07-6,-458.63553654
NCIBLIND10/08-A,-437.26382966
NCIBLIND10/08-B,-437.26382965
NCIBLIND10/08-1,-874.48793106
NCIBLIND10/08-2,-874.51174204
NCIBLIND10/08-3,-874.52886145
NCIBLIND10/08-4,-874.52916648
NCIBLIND10/08-5,-874.52863018
NCIBLIND10/08-6,-874.52834013
NCIBLIND10/08-7,-874.52813589
NCIBLIND10/09-A,-245.28333026
NCIBLIND10/09-B,-245.28326974
NCIBLIND10/09-1,-490.55401196
NCIBLIND10/09-2,-490.5656336
NCIBLIND10/09-3,-490.57038456
NCIBLIND10/09-4,-490.568791
NCIBLIND10/09-5,-490.5678182
NCIBLIND10/09-6,-490.56734788
NCIBLIND10/09-7,-490.56710161
NCIBLIND10/10-A,-76.50917254
NCIBLIND10/10-B,-76.50923147
NCIBLIND10/10-1,-152.99844054
NCIBLIND10/10-2,-153.01877546
NCIBLIND10/10-3,-153.02356713
NCIBLIND10/10-4,-153.02381344
NCIBLIND10/10-5,-153.02297761
NCIBLIND10/10-6,-153.02150486
NCIBLIND10/10-7,-153.020478
NCIBLIND10/10-8,-153.01979957
NCIBLIND10/10-9,-153.01937613
NCIBLIND10/10-10,-153.01909592
NCIBLIND10/10-11,-153.01891641
NCIBLIND10/10-12,-153.0188003
NCIBLIND10/10-13,-153.01872059
NCIBLIND10/10-14,-153.01866172
NCIBLIND10/10-15,-153.0186175
NCIBLIND10/10-16,-153.01858346
