system,PBE/def2-QZVP/Q-Chem
S66x8/66-150,-343.850819532
S66x8/66-200,-343.8497068392
NCIBLIND10/01-A,-232.0358016123
NCIBLIND10/01-B,-40.4674680225
NCIBLIND10/01-1,-272.4998810552
NCIBLIND10/01-2,-272.5036650927
NCIBLIND10/01-3,-272.503698931
NCIBLIND10/01-4,-272.5034013263
NCIBLIND10/01-5,-272.5033023475
NCIBLIND10/01-6,-272.5032807809
NCIBLIND10/01-7,-272.5032750727
NCIBLIND10/02-A,-232.0362888518
NCIBLIND10/02-B,-76.386849136
NCIBLIND10/02-1,-308.4126276874
NCIBLIND10/02-2,-308.4255762725
NCIBLIND10/02-3,-308.4267172929
NCIBLIND10/02-4,-308.4258850221
NCIBLIND10/02-5,-308.4249859469
NCIBLIND10/02-6,-308.4243335837
NCIBLIND10/02-7,-308.4236673623
NCIBLIND10/02-8,-308.4234286698
NCIBLIND10/02-9,-308.4233186562
NCIBLIND10/03-A,-154.9194491962
NCIBLIND10/03-B,-154.9192957083
NCIBLIND10/03-1,-309.8371573585
NCIBLIND10/03-2,-309.8403634642
NCIBLIND10/03-3,-309.8401726031
NCIBLIND10/03-4,-309.8392674423
NCIBLIND10/03-5,-309.8389452583
NCIBLIND10/03-6,-309.8388455281
NCIBLIND10/03-7,-309.8388081902
NCIBLIND10/04-A,-599.1834109667
NCIBLIND10/04-B,-599.1836888627
NCIBLIND10/04-1,-1198.366391157
NCIBLIND10/04-2,-1198.3749921266
NCIBLIND10/04-3,-1198.3762522056
NCIBLIND10/04-4,-1198.37232207
NCIBLIND10/04-5,-1198.3700353872
NCIBLIND10/04-6,-1198.368784362
NCIBLIND10/04-7,-1198.3680833643
NCIBLIND10/04-8,-1198.3676963442
NCIBLIND10/05-A,-598.0252655278
NCIBLIND10/05-B,-598.0255988863
NCIBLIND10/05-1,-1196.0650226672
NCIBLIND10/05-2,-1196.0677836558
NCIBLIND10/05-3,-1196.062338194
NCIBLIND10/05-4,-1196.0574835586
NCIBLIND10/05-5,-1196.0551370013
NCIBLIND10/05-6,-1196.0538474878
NCIBLIND10/06-A,-226.0491893127
NCIBLIND10/06-B,-226.0497921723
NCIBLIND10/06-1,-452.107762564
NCIBLIND10/06-2,-452.1139478856
NCIBLIND10/06-3,-452.1069738525
NCIBLIND10/06-4,-452.1026521249
NCIBLIND10/06-5,-452.1009682647
NCIBLIND10/06-6,-452.1001947197
NCIBLIND10/06-7,-452.0997881487
NCIBLIND10/07-A,-228.91746946
NCIBLIND10/07-B,-228.917614269
NCIBLIND10/07-1,-457.8365882125
NCIBLIND10/07-2,-457.8379521777
NCIBLIND10/07-3,-457.8368917682
NCIBLIND10/07-4,-457.8357120389
NCIBLIND10/07-5,-457.8353089593
NCIBLIND10/07-6,-457.8351705445
NCIBLIND10/08-A,-436.4604059999
NCIBLIND10/08-B,-436.4604059998
NCIBLIND10/08-1,-872.9018887019
NCIBLIND10/08-2,-872.9169939127
NCIBLIND10/08-3,-872.92389127
NCIBLIND10/08-4,-872.9224330406
NCIBLIND10/08-5,-872.9217152103
NCIBLIND10/08-6,-872.921436393
NCIBLIND10/08-7,-872.9213556652
NCIBLIND10/09-A,-244.8846636136
NCIBLIND10/09-B,-244.8846027985
NCIBLIND10/09-1,-489.7662838325
NCIBLIND10/09-2,-489.773741641
NCIBLIND10/09-3,-489.7735609646
NCIBLIND10/09-4,-489.7713759748
NCIBLIND10/09-5,-489.7704166126
NCIBLIND10/09-6,-489.7699768404
NCIBLIND10/09-7,-489.7697430513
NCIBLIND10/10-A,-76.3867955041
NCIBLIND10/10-B,-76.3864785522
NCIBLIND10/10-1,-152.7616292451
NCIBLIND10/10-2,-152.779143049
NCIBLIND10/10-3,-152.7818522687
NCIBLIND10/10-4,-152.7807317711
NCIBLIND10/10-5,-152.7790175467
NCIBLIND10/10-6,-152.776754185
NCIBLIND10/10-7,-152.7757495049
NCIBLIND10/10-8,-152.7749880704
NCIBLIND10/10-9,-152.774539387
NCIBLIND10/10-10,-152.7742621618
NCIBLIND10/10-11,-152.7740841938
NCIBLIND10/10-12,-152.7739655296
NCIBLIND10/10-13,-152.773884065
NCIBLIND10/10-14,-152.7738242693
NCIBLIND10/10-15,-152.7737793948
NCIBLIND10/10-16,-152.7737448623
