system,BLYP/def2-QZVP/Q-Chem
S66x8/66-200,-344.1574950563
NCIBLIND10/01-A,-232.2446060176
NCIBLIND10/01-B,-40.5051858528
NCIBLIND10/01-1,-272.7427555085
NCIBLIND10/01-2,-272.7481323626
NCIBLIND10/01-3,-272.74946314
NCIBLIND10/01-4,-272.749691171
NCIBLIND10/01-5,-272.7497682054
NCIBLIND10/01-6,-272.7497891886
NCIBLIND10/01-7,-272.7497944478
NCIBLIND10/02-A,-232.2448765204
NCIBLIND10/02-B,-76.4561293796
NCIBLIND10/02-1,-308.6841889706
NCIBLIND10/02-2,-308.7001435995
NCIBLIND10/02-3,-308.702611345
NCIBLIND10/02-4,-308.7025153214
NCIBLIND10/02-5,-308.7021368174
NCIBLIND10/02-6,-308.7018178247
NCIBLIND10/02-7,-308.7014464721
NCIBLIND10/02-8,-308.7012705012
NCIBLIND10/02-9,-308.7011744135
NCIBLIND10/03-A,-155.0552383192
NCIBLIND10/03-B,-155.0550954801
NCIBLIND10/03-1,-310.1046182338
NCIBLIND10/03-2,-310.1089399934
NCIBLIND10/03-3,-310.1105475562
NCIBLIND10/03-4,-310.1105104079
NCIBLIND10/03-5,-310.1104689797
NCIBLIND10/03-6,-310.1104269131
NCIBLIND10/03-7,-310.1103983435
NCIBLIND10/04-A,-599.6969277413
NCIBLIND10/04-B,-599.6969580708
NCIBLIND10/04-1,-1199.3840157009
NCIBLIND10/04-2,-1199.3950660454
NCIBLIND10/04-3,-1199.3999446818
NCIBLIND10/04-4,-1199.3977274296
NCIBLIND10/04-5,-1199.3963539375
NCIBLIND10/04-6,-1199.3954709169
NCIBLIND10/04-7,-1199.3948731662
NCIBLIND10/04-8,-1199.3945015767
NCIBLIND10/05-A,-598.5419501215
NCIBLIND10/05-B,-598.5422914119
NCIBLIND10/05-1,-1197.0946985889
NCIBLIND10/05-2,-1197.0983403603
NCIBLIND10/05-3,-1197.0946799853
NCIBLIND10/05-4,-1197.0905942247
NCIBLIND10/05-5,-1197.0885017788
NCIBLIND10/05-6,-1197.0872500435
NCIBLIND10/06-A,-226.2475615874
NCIBLIND10/06-B,-226.2482116332
NCIBLIND10/06-1,-452.5006029427
NCIBLIND10/06-2,-452.508337002
NCIBLIND10/06-3,-452.5029803253
NCIBLIND10/06-4,-452.4991813489
NCIBLIND10/06-5,-452.4977047576
NCIBLIND10/06-6,-452.4969801612
NCIBLIND10/06-7,-452.4965794834
NCIBLIND10/07-A,-229.1247641313
NCIBLIND10/07-B,-229.1248588156
NCIBLIND10/07-1,-458.2486006347
NCIBLIND10/07-2,-458.2503740257
NCIBLIND10/07-3,-458.2505579904
NCIBLIND10/07-4,-458.2500187084
NCIBLIND10/07-5,-458.2498045744
NCIBLIND10/07-6,-458.2497034236
NCIBLIND10/08-A,-436.8460956398
NCIBLIND10/08-B,-436.8460956398
NCIBLIND10/08-1,-873.6603616733
NCIBLIND10/08-2,-873.6801570414
NCIBLIND10/08-3,-873.6924520548
NCIBLIND10/08-4,-873.6930325836
NCIBLIND10/08-5,-873.6929457536
NCIBLIND10/08-6,-873.692803801
NCIBLIND10/08-7,-873.6926773905
NCIBLIND10/09-A,-245.1006560054
NCIBLIND10/09-B,-245.1006265838
NCIBLIND10/09-1,-490.1932424072
NCIBLIND10/09-2,-490.2025396071
NCIBLIND10/09-3,-490.2043870375
NCIBLIND10/09-4,-490.2031054855
NCIBLIND10/09-5,-490.2024085074
NCIBLIND10/09-6,-490.2020027984
NCIBLIND10/09-7,-490.2017694783
NCIBLIND10/10-A,-76.456037784
NCIBLIND10/10-B,-76.4556631788
NCIBLIND10/10-1,-152.8963814834
NCIBLIND10/10-2,-152.9153851927
NCIBLIND10/10-3,-152.9188911149
NCIBLIND10/10-4,-152.9181710648
NCIBLIND10/10-5,-152.9166858499
NCIBLIND10/10-6,-152.9146876803
NCIBLIND10/10-7,-152.9139566377
NCIBLIND10/10-8,-152.9133449997
NCIBLIND10/10-9,-152.9129747293
NCIBLIND10/10-10,-152.9127312342
NCIBLIND10/10-11,-152.9125639597
NCIBLIND10/10-12,-152.9124486304
NCIBLIND10/10-13,-152.9123678183
NCIBLIND10/10-14,-152.9123082692
NCIBLIND10/10-15,-152.9122633397
NCIBLIND10/10-16,-152.9122287854
