system,PBE20/def2-QZVP/Q-Chem
S66x8/66-200,-343.8705348345
NCIBLIND10/01-A,-232.0522771023
NCIBLIND10/01-B,-40.4756115574
NCIBLIND10/01-1,-272.5247379317
NCIBLIND10/01-2,-272.5283081525
NCIBLIND10/01-3,-272.5282743699
NCIBLIND10/01-4,-272.5280094117
NCIBLIND10/01-5,-272.527922689
NCIBLIND10/01-6,-272.5279017143
NCIBLIND10/01-7,-272.5278952101
NCIBLIND10/02-A,-232.0536977297
NCIBLIND10/02-B,-76.3860714406
NCIBLIND10/02-1,-308.4296250288
NCIBLIND10/02-2,-308.4423858017
NCIBLIND10/02-3,-308.4433321048
NCIBLIND10/02-4,-308.4424554212
NCIBLIND10/02-5,-308.441581362
NCIBLIND10/02-6,-308.4409684327
NCIBLIND10/02-7,-308.4403338678
NCIBLIND10/02-8,-308.4400868519
NCIBLIND10/02-9,-308.4399670379
NCIBLIND10/03-A,-154.9295324391
NCIBLIND10/03-B,-154.9293984161
NCIBLIND10/03-1,-309.857459108
NCIBLIND10/03-2,-309.8605025864
NCIBLIND10/03-3,-309.8602313873
NCIBLIND10/03-4,-309.8594153669
NCIBLIND10/03-5,-309.859133111
NCIBLIND10/03-6,-309.8590388056
NCIBLIND10/03-7,-309.8589998749
NCIBLIND10/04-A,-599.1459879592
NCIBLIND10/04-B,-599.146709416
NCIBLIND10/04-1,-1198.2930348282
NCIBLIND10/04-2,-1198.3012447552
NCIBLIND10/04-3,-1198.3018642305
NCIBLIND10/04-4,-1198.2978888975
NCIBLIND10/04-5,-1198.2956455947
NCIBLIND10/04-6,-1198.2944161383
NCIBLIND10/04-7,-1198.2937134085
NCIBLIND10/04-8,-1198.2933151208
NCIBLIND10/05-A,-597.9804865231
NCIBLIND10/05-B,-597.9806128487
NCIBLIND10/05-1,-1195.9757622414
NCIBLIND10/05-2,-1195.9783910534
NCIBLIND10/05-3,-1195.9726801619
NCIBLIND10/05-4,-1195.9678606313
NCIBLIND10/05-5,-1195.9655084543
NCIBLIND10/05-6,-1195.9641934465
NCIBLIND10/06-A,-226.0523764165
NCIBLIND10/06-B,-226.0533383241
NCIBLIND10/06-1,-452.1148670226
NCIBLIND10/06-2,-452.1208358286
NCIBLIND10/06-3,-452.1136874347
NCIBLIND10/06-4,-452.1094109895
NCIBLIND10/06-5,-452.1077405587
NCIBLIND10/06-6,-452.1069635765
NCIBLIND10/06-7,-452.1065489655
NCIBLIND10/07-A,-228.9151344959
NCIBLIND10/07-B,-228.9155039625
NCIBLIND10/07-1,-457.8326154448
NCIBLIND10/07-2,-457.8338190103
NCIBLIND10/07-3,-457.8324705317
NCIBLIND10/07-4,-457.831293215
NCIBLIND10/07-5,-457.830891623
NCIBLIND10/07-6,-457.8307454783
NCIBLIND10/08-A,-436.4511150683
NCIBLIND10/08-B,-436.4511150682
NCIBLIND10/08-1,-872.8842236392
NCIBLIND10/08-2,-872.8990436711
NCIBLIND10/08-3,-872.9052488438
NCIBLIND10/08-4,-872.9038393008
NCIBLIND10/08-5,-872.9031731642
NCIBLIND10/08-6,-872.9028945304
NCIBLIND10/08-7,-872.9028490867
NCIBLIND10/09-A,-244.8680798407
NCIBLIND10/09-B,-244.8679909087
NCIBLIND10/09-1,-489.7342634907
NCIBLIND10/09-2,-489.7412058786
NCIBLIND10/09-3,-489.7404632431
NCIBLIND10/09-4,-489.7382694083
NCIBLIND10/09-5,-489.7373013142
NCIBLIND10/09-6,-489.7368392812
NCIBLIND10/09-7,-489.7365876409
NCIBLIND10/10-A,-76.3862123869
NCIBLIND10/10-B,-76.3862116963
NCIBLIND10/10-1,-152.7610357232
NCIBLIND10/10-2,-152.7782174633
NCIBLIND10/10-3,-152.7808036193
NCIBLIND10/10-4,-152.779667815
NCIBLIND10/10-5,-152.7779913919
NCIBLIND10/10-6,-152.7758222982
NCIBLIND10/10-7,-152.7746216787
NCIBLIND10/10-8,-152.7738895257
NCIBLIND10/10-9,-152.7734552596
NCIBLIND10/10-10,-152.7731836733
NCIBLIND10/10-11,-152.7730064028
NCIBLIND10/10-12,-152.7728861486
NCIBLIND10/10-13,-152.7728024096
NCIBLIND10/10-14,-152.7727405088
NCIBLIND10/10-15,-152.7726939141
NCIBLIND10/10-16,-152.7726580197
