system,B3LYP/def2-QZVP/Q-Chem
S66x8/66-150,-344.3083324449
S66x8/66-200,-344.3077465733
NCIBLIND10/01-A,-232.3521503738
NCIBLIND10/01-B,-40.5419274254
NCIBLIND10/01-1,-272.8884728506
NCIBLIND10/01-2,-272.8932150508
NCIBLIND10/01-3,-272.8939857805
NCIBLIND10/01-4,-272.8940450583
NCIBLIND10/01-5,-272.8940732197
NCIBLIND10/01-6,-272.8940809383
NCIBLIND10/01-7,-272.8940820587
NCIBLIND10/02-A,-232.3535345901
NCIBLIND10/02-B,-76.4726480104
NCIBLIND10/02-1,-308.8115692551
NCIBLIND10/02-2,-308.8266842616
NCIBLIND10/02-3,-308.8285382398
NCIBLIND10/02-4,-308.8280971467
NCIBLIND10/02-5,-308.8275367617
NCIBLIND10/02-6,-308.8271300682
NCIBLIND10/02-7,-308.8266853269
NCIBLIND10/02-8,-308.8264805581
NCIBLIND10/02-9,-308.826370853
NCIBLIND10/03-A,-155.1232166408
NCIBLIND10/03-B,-155.1230914495
NCIBLIND10/03-1,-310.2424899066
NCIBLIND10/03-2,-310.2462217397
NCIBLIND10/03-3,-310.2468854446
NCIBLIND10/03-4,-310.2465850418
NCIBLIND10/03-5,-310.2464746099
NCIBLIND10/03-6,-310.2464138574
NCIBLIND10/03-7,-310.2463793826
NCIBLIND10/04-A,-599.7846229577
NCIBLIND10/04-B,-599.7851657982
NCIBLIND10/04-1,-1199.5647147974
NCIBLIND10/04-2,-1199.5746477464
NCIBLIND10/04-3,-1199.5772845746
NCIBLIND10/04-4,-1199.5741868659
NCIBLIND10/04-5,-1199.5724757255
NCIBLIND10/04-6,-1199.5714636663
NCIBLIND10/04-7,-1199.5708190217
NCIBLIND10/04-8,-1199.5704264329
NCIBLIND10/05-A,-598.6132781011
NCIBLIND10/05-B,-598.6134043313
NCIBLIND10/05-1,-1197.2394375826
NCIBLIND10/05-2,-1197.2426235765
NCIBLIND10/05-3,-1197.2377350835
NCIBLIND10/05-4,-1197.2333159559
NCIBLIND10/05-5,-1197.2311083428
NCIBLIND10/05-6,-1197.2298095683
NCIBLIND10/06-A,-226.3208956537
NCIBLIND10/06-B,-226.3219410711
NCIBLIND10/06-1,-452.6494245863
NCIBLIND10/06-2,-452.6565542113
NCIBLIND10/06-3,-452.6503904171
NCIBLIND10/06-4,-452.6463827609
NCIBLIND10/06-5,-452.6448343265
NCIBLIND10/06-6,-452.6440847758
NCIBLIND10/06-7,-452.6436727287
NCIBLIND10/07-A,-229.1788591808
NCIBLIND10/07-B,-229.1792037628
NCIBLIND10/07-1,-458.3587862638
NCIBLIND10/07-2,-458.3601868387
NCIBLIND10/07-3,-458.359390251
NCIBLIND10/07-4,-458.3585849544
NCIBLIND10/07-5,-458.358294151
NCIBLIND10/07-6,-458.3581681045
NCIBLIND10/08-A,-436.9507809131
NCIBLIND10/08-B,-436.9507809131
NCIBLIND10/08-1,-873.8744242047
NCIBLIND10/08-2,-873.8929953951
NCIBLIND10/08-3,-873.9028373038
NCIBLIND10/08-4,-873.9026867208
NCIBLIND10/08-5,-873.9024218484
NCIBLIND10/08-6,-873.9022286427
NCIBLIND10/08-7,-873.9021479477
NCIBLIND10/09-A,-245.1351521088
NCIBLIND10/09-B,-245.1350898308
NCIBLIND10/09-1,-490.2655594757
NCIBLIND10/09-2,-490.2737574638
NCIBLIND10/09-3,-490.2739829322
NCIBLIND10/09-4,-490.2722857149
NCIBLIND10/09-5,-490.271472002
NCIBLIND10/09-6,-490.2710259354
NCIBLIND10/09-7,-490.2707715395
NCIBLIND10/10-A,-76.4727657366
NCIBLIND10/10-B,-76.4727285064
NCIBLIND10/10-1,-152.9318898373
NCIBLIND10/10-2,-152.950146301
NCIBLIND10/10-3,-152.9532418959
NCIBLIND10/10-4,-152.9523016724
NCIBLIND10/10-5,-152.9507021542
NCIBLIND10/10-6,-152.9486247929
NCIBLIND10/10-7,-152.9475737796
NCIBLIND10/10-8,-152.946928197
NCIBLIND10/10-9,-152.9465402119
NCIBLIND10/10-10,-152.946288277
NCIBLIND10/10-11,-152.9461168273
NCIBLIND10/10-12,-152.9459980793
NCIBLIND10/10-13,-152.9459142997
NCIBLIND10/10-14,-152.9458522081
NCIBLIND10/10-15,-152.9458053143
NCIBLIND10/10-16,-152.9457692
